[3/18] arch1_3conv_narrow__vgg_td512 | teacher=vgg dim=512 convs=3
  trainable params: 77,877
vgg16] epoch 01 | train_loss 33.95519 | train_acc 0.0987 | val_loss 3.09183 | val_acc 0.1304 | enc_lr 1.99e-04 | cls_lr 9.94e-04
vgg16] epoch 02 | train_loss 32.30989 | train_acc 0.1341 | val_loss 3.06083 | val_acc 0.1576 | enc_lr 1.97e-04 | cls_lr 9.86e-04
vgg16] epoch 03 | train_loss 30.87159 | train_acc 0.1540 | val_loss 3.07411 | val_acc 0.1929 | enc_lr 1.95e-04 | cls_lr 9.76e-04
vgg16] epoch 04 | train_loss 29.86135 | train_acc 0.1848 | val_loss 3.62980 | val_acc 0.2065 | enc_lr 1.92e-04 | cls_lr 9.62e-04
vgg16] epoch 05 | train_loss 28.49585 | train_acc 0.2002 | val_loss 3.29223 | val_acc 0.2201 | enc_lr 1.89e-04 | cls_lr 9.46e-04
vgg16] epoch 06 | train_loss 27.97448 | train_acc 0.2177 | val_loss 3.93753 | val_acc 0.2201 | enc_lr 1.85e-04 | cls_lr 9.26e-04
vgg16] epoch 07 | train_loss 27.50142 | train_acc 0.2201 | val_loss 3.27479 | val_acc 0.2554 | enc_lr 1.81e-04 | cls_lr 9.05e-04
vgg16] epoch 08 | train_loss 27.06171 | train_acc 0.2292 | val_loss 3.76615 | val_acc 0.2582 | enc_lr 1.76e-04 | cls_lr 8.80e-04
vgg16] epoch 09 | train_loss 26.91133 | train_acc 0.2343 | val_loss 3.14295 | val_acc 0.2962 | enc_lr 1.71e-04 | cls_lr 8.54e-04
vgg16] epoch 10 | train_loss 26.52034 | train_acc 0.2479 | val_loss 3.56945 | val_acc 0.2364 | enc_lr 1.65e-04 | cls_lr 8.25e-04
vgg16] epoch 11 | train_loss 26.42993 | train_acc 0.2446 | val_loss 3.63778 | val_acc 0.2554 | enc_lr 1.59e-04 | cls_lr 7.94e-04
vgg16] epoch 12 | train_loss 25.89899 | train_acc 0.2582 | val_loss 3.39638 | val_acc 0.2663 | enc_lr 1.52e-04 | cls_lr 7.61e-04
vgg16] epoch 13 | train_loss 25.83492 | train_acc 0.2630 | val_loss 3.52107 | val_acc 0.2690 | enc_lr 1.46e-04 | cls_lr 7.27e-04
vgg16] epoch 14 | train_loss 25.54731 | train_acc 0.2621 | val_loss 3.19238 | val_acc 0.2935 | enc_lr 1.39e-04 | cls_lr 6.92e-04
vgg16] epoch 15 | train_loss 25.30801 | train_acc 0.2787 | val_loss 3.18329 | val_acc 0.3043 | enc_lr 1.31e-04 | cls_lr 6.55e-04
vgg16] epoch 16 | train_loss 25.03127 | train_acc 0.2814 | val_loss 3.12896 | val_acc 0.2962 | enc_lr 1.24e-04 | cls_lr 6.17e-04
vgg16] epoch 17 | train_loss 24.78738 | train_acc 0.2971 | val_loss 3.33739 | val_acc 0.2880 | enc_lr 1.16e-04 | cls_lr 5.79e-04
vgg16] epoch 18 | train_loss 24.52913 | train_acc 0.2938 | val_loss 3.20904 | val_acc 0.3071 | enc_lr 1.08e-04 | cls_lr 5.40e-04
